-0.0120073	0.030739	0.999455
-0.0312252	0.031522	1.99927
-0.0722101	0.0234028	2.9984
-0.069198	0.00252345	3.99817
-0.0952654	-0.00357729	4.99782
-0.114799	-0.0158408	5.99755
-0.161276	-0.0233647	6.99644
-0.202573	-0.0285371	7.99557
-0.238195	-0.042045	8.99485
-0.285847	-0.0549724	9.99363
-0.365233	-0.0663369	10.9904
-0.415454	-0.0744002	11.9891
-0.451856	-0.0835482	12.9884
-0.48142	-0.0912736	13.9879
-0.521406	-0.104174	14.9871
-0.559955	-0.12044	15.9862
-0.603342	-0.147087	16.9849
-0.684507	-0.172557	17.9813
-0.770534	-0.187006	18.9774
-0.848721	-0.189637	19.9744
-0.950895	-0.208176	20.969
-0.996139	-0.231685	21.9677
-1.02599	-0.231051	22.9672
-1.10426	-0.251987	23.9639
-1.18289	-0.269205	24.9607
-1.26443	-0.256239	25.9573
-1.3379	-0.240032	26.9545
-1.41829	-0.233161	27.9512
-1.44259	-0.261148	28.9505
-1.5329	-0.282562	29.9462
-1.59079	-0.31067	30.9441
-1.65799	-0.358433	31.9407
-1.74181	-0.390679	32.9367
-1.77768	-0.415633	33.9357
-1.82329	-0.439899	34.9344
-1.84699	-0.494739	35.9326
-1.93586	-0.493374	36.9286
-2.03358	-0.512586	37.9237
-2.10266	-0.540551	38.9209
-2.17573	-0.557231	39.9181
-2.24636	-0.56595	40.9155
-2.31311	-0.569063	41.9133
-2.37835	-0.601031	42.9107
-2.4739	-0.579775	43.9059
-2.45614	-0.587633	44.9057
-2.54922	-0.597239	45.9013
-2.60859	-0.604415	46.8995
-2.70449	-0.60734	47.8949
-2.77203	-0.616389	48.8926
-2.84454	-0.612314	49.8899
-2.91133	-0.624669	50.8876
-3.00062	-0.642096	51.8835
-3.1017	-0.620489	52.8781
-3.24518	-0.633105	53.8677
-3.26632	-0.656707	54.8672
-3.34761	-0.668853	55.8638
-3.40506	-0.688031	56.8619
-3.5085	-0.702352	57.8565
-3.58966	-0.727383	58.8529
